passage_id,layer,num_removed,exact_match,first_divergence_idx
24,4,20,False,0
24,5,20,False,0
24,6,20,False,3
24,7,20,False,0
24,8,20,False,7
24,9,20,False,0
24,10,20,False,3
24,11,20,False,0
24,12,20,False,0
24,13,20,False,0
24,14,20,False,0
24,15,20,False,29
24,16,20,False,7
24,17,20,False,7
24,18,20,False,7
24,19,20,False,1
24,20,20,False,3
24,21,20,False,0
24,22,20,False,8
24,23,20,False,13
24,24,20,False,1
24,25,20,False,0
24,26,20,False,3
24,27,20,False,0
24,28,20,False,0
24,29,20,False,0
24,30,20,False,0
24,31,20,False,0
24,32,20,False,0
24,33,20,False,0
24,34,20,False,0
